Region,Industry,2017_c,2017_w,2018_c,2018_w,2019_c,2019_w,2020_c,2020_w,2021_c,2021_w,2022_c,2022_w,GRDP,Factor_Income
서울특별시 동대문구,I,2505,10499,2395,10745,2662,11161,1864,7405,1901,7689,2028,8745,225481,206645
서울특별시 동대문구,J,180,1484,168,1711,154,1525,168,1536,197,1561,235,1626,110672,72403
서울특별시 동대문구,K,261,4969,252,4287,235,3979,218,3902,234,3915,236,4302,290324,260802
서울특별시 동대문구,L,574,3754,568,3705,610,3540,625,3385,584,3460,580,3325,1046161,502283
서울특별시 동대문구,M,447,6822,472,6496,489,6747,468,7169,558,7092,600,6167,,
서울특별시 동대문구,N,305,8938,293,8496,330,8430,285,10606,288,7662,306,7910,783306,716335
서울특별시 동대문구,P,566,10930,567,11825,609,12294,515,10776,511,10996,542,12053,937424,802857
서울특별시 동대문구,Q,974,14009,978,13774,1008,14376,980,15606,968,16256,1020,17205,753251,682106
서울특별시 동대문구,R,305,1797,329,1884,322,1733,223,1397,217,1406,257,1723,311359,237015
서울특별시 동대문구,S,836,3275,839,3374,875,3289,749,2650,671,2337,739,2616,,
서울특별시 중랑구,A,0,0,0,0,0,0,0,0,0,0,0,0,1774,1480
서울특별시 중랑구,B,1,3,1,3,0,0,0,0,2,5,2,4,518,414
서울특별시 중랑구,C,2525,14670,2391,13780,2224,12834,1953,10792,2021,10722,2108,11476,316935,232629
서울특별시 중랑구,D,5,122,5,108,4,116,4,172,3,104,3,101,45660,13052
서울특별시 중랑구,E,13,201,16,215,13,195,15,188,12,135,19,155,,
서울특별시 중랑구,F,734,5257,736,5781,811,6231,498,4910,573,5367,622,5494,393754,370134
서울특별시 중랑구,G,2253,11888,2110,11757,2217,11533,1910,9869,1924,9947,1987,10467,628094,572490
서울특별시 중랑구,H,210,7264,222,6760,227,6165,183,5313,181,5079,164,4880,216648,119873
서울특별시 중랑구,I,1843,7619,1742,7670,1909,8043,1328,5612,1487,6165,1628,7009,175888,162092
서울특별시 중랑구,J,91,874,94,813,99,644,112,823,147,908,165,1039,107169,72796
서울특별시 중랑구,K,128,1689,136,1772,135,1717,128,1695,123,1582,131,1588,101884,92097
서울특별시 중랑구,L,383,1974,393,2120,466,2310,428,1917,440,2063,421,1723,753342,362401
서울특별시 중랑구,M,237,1537,242,1552,261,1586,267,1262,300,1668,318,1866,,
서울특별시 중랑구,N,212,2706,212,2616,273,2997,212,2579,221,3643,246,3958,331242,296043
서울특별시 중랑구,P,477,4557,450,4594,459,4662,421,3968,430,3953,445,3965,431740,368328
서울특별시 중랑구,Q,950,11346,960,11800,994,12746,1013,13613,1018,13935,1051,15163,487949,440288
서울특별시 중랑구,R,295,1575,313,1688,334,1748,235,1290,233,1374,250,1397,269069,203647
서울특별시 중랑구,S,866,2916,879,3048,913,2959,781,2313,731,2323,745,2331,,
서울특별시 성북구,A,0,0,0,0,0,0,0,0,0,0,0,0,465,347
서울특별시 성북구,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시 성북구,C,1491,7794,1363,6901,1318,6631,1176,6071,1175,5511,1267,5780,136232,102349
서울특별시 성북구,D,4,10,4,9,2,6,1,1,3,5,2,6,56898,16306
서울특별시 성북구,E,7,171,7,172,9,164,10,218,13,225,14,253,,
서울특별시 성북구,F,376,3560,361,3706,401,3858,284,3432,315,3101,352,4750,292718,275495
서울특별시 성북구,G,2162,11806,2014,11600,2145,11451,1889,9913,1885,10211,1894,10026,574134,523326
서울특별시 성북구,H,106,3290,103,3078,103,2668,91,2521,86,2279,88,2338,119667,65805
서울특별시 성북구,I,2171,9462,2145,10011,2339,10320,1718,7237,1838,8053,1972,8701,222261,204857
서울특별시 성북구,J,161,1452,162,1598,172,1623,180,1784,250,2015,267,1821,174786,119951
서울특별시 성북구,K,135,1582,128,1493,129,1559,120,1386,126,1465,129,1477,142383,129091
서울특별시 성북구,L,374,1870,370,1859,425,2968,430,1941,436,1914,430,1791,1069052,493971
서울특별시 성북구,M,324,3812,335,4174,350,5243,332,4772,409,6140,443,6348,,
서울특별시 성북구,N,161,5476,162,5148,192,5941,163,5634,183,5479,197,4820,797585,718710
서울특별시 성북구,P,749,15848,737,16366,737,17006,680,16616,660,16107,691,16154,1242506,1064955
서울특별시 성북구,Q,1024,12205,995,12475,999,12927,1005,15200,978,15449,1031,16735,651849,588962
서울특별시 성북구,R,294,1536,317,1716,340,1766,252,1255,259,1432,268,1484,242736,185274
서울특별시 성북구,S,996,3990,939,3725,935,3663,800,2826,782,3010,834,3228,,
서울특별시 강북구,A,0,0,0,0,0,0,0,0,0,0,1,2,578,416
서울특별시 강북구,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시 강북구,C,964,5802,902,5133,892,5037,753,4048,810,4093,795,4041,95320,70777
서울특별시 강북구,D,1,80,1,83,2,83,1,83,1,83,1,85,38823,11051
서울특별시 강북구,E,7,163,6,174,6,172,8,203,11,146,10,199,,
서울특별시 강북구,F,265,1765,269,1835,288,1912,215,1585,267,2220,266,1943,221657,208285
서울특별시 강북구,G,1512,7752,1411,7588,1622,7928,1363,6158,1456,6606,1483,6592,346631,315965
서울특별시 강북구,H,99,3627,102,3409,94,3196,78,3105,95,2945,96,3231,125723,69186
서울특별시 강북구,I,1761,7825,1609,7578,1849,8327,1285,5747,1388,6173,1461,7082,166570,152260
서울특별시 강북구,J,67,643,69,611,82,686,77,488,92,580,111,647,99965,73021
서울특별시 강북구,K,222,3996,233,4137,236,4110,204,3696,194,4075,188,3791,226237,200996
서울특별시 강북구,L,286,1439,266,1392,293,1294,259,1144,297,1254,300,1232,519309,247181
서울특별시 강북구,M,206,1044,217,1102,221,1144,218,1060,257,1311,266,1276,,
서울특별시 강북구,N,146,3231,134,3338,153,3660,131,3424,162,3036,146,3594,222590,199313
서울특별시 강북구,P,339,3362,319,3332,354,3585,310,3197,304,3464,322,3606,290329,248229
서울특별시 강북구,Q,794,7850,794,8443,798,9237,799,9698,807,10246,829,10537,414673,374487
서울특별시 강북구,R,262,1438,273,1476,286,1580,171,1003,183,1122,198,1392,202465,154067
서울특별시 강북구,S,743,2806,721,2707,736,2702,603,2126,582,2112,606,2072,,
서울특별시 도봉구,A,1,2,1,3,1,1,0,0,0,0,1,3,982,774
서울특별시 도봉구,B,0,0,0,0,1,1,0,0,0,0,0,0,0,0
서울특별시 도봉구,C,695,3967,652,3607,599,3265,524,2764,465,2246,498,2414,90077,65452
서울특별시 도봉구,D,0,0,0,0,3,21,3,25,2,30,1,7,39069,11084
서울특별시 도봉구,E,10,139,10,133,9,124,9,77,11,164,11,154,,
서울특별시 도봉구,F,337,2918,347,3193,354,3380,244,2893,275,2737,254,2043,253502,238155
서울특별시 도봉구,G,1531,8254,1460,8308,1519,8364,1232,6268,1264,6600,1244,6645,375126,341933
서울특별시 도봉구,H,98,5135,99,5029,92,4152,70,3630,82,3699,77,3690,145716,79557
서울특별시 도봉구,I,1282,5334,1214,5578,1346,6035,931,4150,1082,4542,1015,4431,126716,116539
서울특별시 도봉구,J,60,357,58,404,54,377,50,270,69,436,81,483,53219,33111
서울특별시 도봉구,K,117,1299,117,1264,101,1089,95,1004,103,1098,106,1153,68684,61687
서울특별시 도봉구,L,327,2060,330,2211,369,2243,303,2446,327,2797,309,2662,623799,297027
서울특별시 도봉구,M,255,1703,259,1676,257,1665,226,1441,280,1832,294,1813,,
서울특별시 도봉구,N,119,1289,121,1768,134,1975,123,1782,145,2073,147,3152,292509,224715
서울특별시 도봉구,P,526,4277,515,4333,495,4048,389,3629,350,3240,389,3381,338436,289270
서울특별시 도봉구,Q,829,9484,815,11448,804,11334,782,11523,758,11666,811,12357,351932,316780
서울특별시 도봉구,R,254,1412,267,1446,269,1320,153,776,155,863,160,870,200663,155393
서울특별시 도봉구,S,736,2815,724,2801,734,2897,596,2474,548,2281,582,2337,,
서울특별시 노원구,A,1,2,1,1,1,1,1,2,2,16,2,3,1199,924
서울특별시 노원구,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시 노원구,C,507,3551,497,3216,484,3094,417,2701,437,2632,447,2592,142220,104843
서울특별시 노원구,D,4,214,5,310,5,285,5,296,5,275,5,292,61910,17668
서울특별시 노원구,E,12,160,10,212,17,232,13,178,14,142,16,145,,
서울특별시 노원구,F,324,2120,337,2219,352,2247,296,2566,332,3159,345,2527,209573,197699
서울특별시 노원구,G,2538,12351,2442,12520,2586,12528,2061,9915,2033,10206,2029,10113,570349,519893
서울특별시 노원구,H,129,6309,132,6175,146,5602,118,4964,126,5136,124,4934,223299,123801
서울특별시 노원구,I,2245,11434,2175,11468,2346,11738,1851,8850,1950,9752,1975,10091,245787,227371
서울특별시 노원구,J,124,922,103,824,114,730,125,691,138,872,186,944,107405,73645
서울특별시 노원구,K,222,4294,212,4229,212,3770,191,3390,198,3786,203,3272,349313,312447
서울특별시 노원구,L,589,3853,583,3512,592,3726,577,3361,548,2996,541,3081,1217510,572692
서울특별시 노원구,M,311,2217,309,3115,337,2649,319,2359,333,2557,355,2603,,
서울특별시 노원구,N,210,4990,203,4467,212,4890,171,4474,201,6948,214,5456,480920,442780
서울특별시 노원구,P,1135,14132,1056,14009,1088,13212,876,12081,861,12306,886,12505,1192723,1018154
서울특별시 노원구,Q,1435,17905,1419,18215,1410,19111,1375,19101,1389,20154,1419,21909,937886,848261
서울특별시 노원구,R,385,2054,387,2188,462,2251,291,1522,303,1750,311,1831,246989,187974
서울특별시 노원구,S,953,3589,922,3545,963,3433,826,2836,760,2818,830,3238,,
서울특별시 은평구,A,0,0,0,0,0,0,0,0,0,0,1,1,2191,1771
서울특별시 은평구,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시 은평구,C,441,2565,406,2383,455,2409,358,1872,399,2030,431,2157,79336,59520
